"School_name","Lat","Lon","ID"
"A M DAVIS ELEM",37.4917123,-77.54567752,1
"ALBERTA SMITH ELEM",37.3957294,-77.64216192,2
"BAILEY BRIDGE MIDDLE",37.4081273,-77.61696969,3
"BELLWOOD ELEM",37.3921894,-77.44134898,4
"BENSLEY ELEM",37.43617895,-77.45117532,5
"BETTIE WEAVER ELEM",37.54932085,-77.65234715,6
"BEULAH ELEM",37.41023305,-77.49018845,7
"BON AIR ELEM",37.5281579,-77.56216301,8
"C C WELLS ELEM",37.3364449,-77.43949417,9
"C E CURTIS ELEM",37.36114725,-77.43392285,10
"CARVER MIDDLE",37.3016397,-77.43112983,11
"CHESTER EARLY CHILDHOOD LEARNING ACADEMY",37.30548869,-77.42609232,12
"CLOVER HILL ELEM",37.4203501,-77.67384375,13
"CLOVER HILL HIGH",37.44806425,-77.6403562,14
"COSBY HIGH",37.40595775,-77.70257754,15
"CRESTWOOD ELEM",37.524851,-77.536388,16
"ECOFF ELEM",37.3606711,-77.46227009,17
"ELIZABETH DAVIS MIDDLE",37.3363814,-77.34172368,18
"ELIZABETH SCOTT ELEM",37.34008899,-77.34028248,19
"ENON ELEM",37.32935555,-77.32411849,20
"ETTRICK ELEM",37.23845952,-77.42686138,21
"EVERGREEN ELEM",37.46333085,-77.63157644,22
"FALLING CREEK ELEM",37.4555044,-77.46993985,23
"FALLING CREEK MIDDLE",37.4585817,-77.47050436,24
"GRANGE HALL ELEM",37.3888672,-77.7662527,25
"GREENFIELD ELEM",37.51894135,-77.59173876,26
"HARROWGATE ELEM",37.3014507,-77.43364116,27
"HOPKINS ROAD ELEM",37.4356409,-77.47452358,28
"J A CHALKLEY ELEM",37.4649369,-77.5187538,29
"J B WATKINS ELEM",37.49453357,-77.65353515,30
"J G HENING ELEM",37.44676595,-77.48967506,31
"JACOBS ROAD ELEM",37.43495514,-77.55339078,32
"JAMES RIVER HIGH",37.5526546,-77.64927126,33
"LLOYD C BIRD HIGH",37.3880471,-77.4954242,34
"MANCHESTER HIGH",37.4068152,-77.6232638,35
"MANCHESTER MIDDLE",37.46798345,-77.52784887,36
"MARGUERITE F CHRISTIAN ELEM",37.321132,-77.3903997,37
"MATOACA ELEM",37.23004035,-77.4831618,38
"MATOACA HIGH",37.275557,-77.46954,39
"MATOACA MIDDLE",37.25286955,-77.47093572,40
"MEADOWBROOK HIGH",37.43563675,-77.48253381,41
"MIDLOTHIAN HIGH",37.4960171,-77.6601167,42
"MIDLOTHIAN MIDDLE",37.5021797,-77.64847398,43
"MONACAN HIGH",37.47910815,-77.61304495,44
"MOSELEY ELEM",37.4024757,-77.75327404,45
"O B GATES ELEM",37.38808409,-77.50286049,46
"OLD HUNDRED ELEM",37.4810889,-77.69626539,47
"PROVIDENCE ELEM",37.4579746,-77.60211521,48
"PROVIDENCE MIDDLE",37.4884072,-77.54292756,49
"REAMS ROAD ELEM",37.48798705,-77.58551216,50
"ROBIOUS ELEM",37.5314326,-77.61272383,51
"ROBIOUS MIDDLE",37.52950195,-77.61311142,52
"SALEM CHURCH ELEM",37.38528965,-77.48484471,53
"SALEM CHURCH MIDDLE",37.38427905,-77.486657,54
"SPRING RUN ELEM",37.38271175,-77.65200523,55
"SWIFT CREEK ELEM",37.4515739,-77.65920195,56
"SWIFT CREEK MIDDLE",37.4968956,-77.708355,57
"THELMA CRENSHAW ELEM",37.42619625,-77.62395267,58
"THOMAS DALE HIGH",37.3621983,-77.43675472,59
"TOMAHAWK CREEK MIDDLE",37.46632513,-77.6696292,60
"W W GORDON ELEM",37.47769415,-77.61622031,61
"WINTERPOCK ELEM",37.37938995,-77.71188095,62
"WOOLRIDGE ELEM",37.42667095,-77.69001725,63
"A.W.E. BASSETTE ELEM",37.0163317,-76.37556628,64
"ABERDEEN ELEM",37.03366885,-76.40559706,65
"ALBERT W. PATRICK III ELEM",37.05719985,-76.33716296,66
"ALFRED S. FORREST ELEM",37.04098195,-76.42519963,67
"ARMSTRONG ELEM",37.01064425,-76.3646412,68
"BARRON ELEM",37.0482053,-76.34209185,69
"BENJAMIN SYMS MIDDLE",37.05321735,-76.32985376,70
"BETHEL HIGH",37.06095221,-76.43138603,71
"C. ALTON LINDSAY MIDDLE",37.01823,-76.39946727,72
"CAPTAIN JOHN SMITH ELEM",37.0451813,-76.3235337,73
"CESAR TARRANT MIDDLE",37.042807,-76.4208723,74
"CHRISTOPHER C. KRAFT ELEM",37.04968375,-76.41550107,75
"FRANCIS ASBURY ELEM",37.07056545,-76.29868719,76
"FRANCIS W. JONES MAGNET MIDDLE",37.04511175,-76.30756477,77
"GEORGE P PHENIX ELEM",37.051921,-76.428877,78
"HAMPTON HIGH",37.02409615,-76.38192722,79
"HUNTER B ANDREWS",37.0106567,-76.36787979,80
"JANE H. BRYAN ELEM",37.02795095,-76.31340003,81
"KECOUGHTAN HIGH",37.05449205,-76.31868515,82
"LUTHER W. MACHEN ELEM",37.0667755,-76.38433476,83
"MARY S. PEAKE ELEM",37.04893835,-76.35535064,84
"MARY T. CHRISTIAN ELEM",37.04629965,-76.31189271,85
"MARY W. JACKSON ELEM",37.03532595,-76.43912265,86
"MOTON EARLY CHILDHOOD CENTER",37.02616205,-76.32079461,87
"NEW HORIZONS GOV. SCH.",37.0633543,-76.41158792,88
"PAUL BURBANK ELEM",37.05545765,-76.37359429,89
"PHILLIPS ELEM",37.06101345,-76.31732312,90
"PHOEBUS HIGH",37.03430322,-76.31683496,91
"SAMUEL P. LANGLEY ELEM",37.06858475,-76.33332484,92
"THOMAS EATON MIDDLE",37.0492444,-76.38484091,93
"WILLIAM MASON COOPER ELEM",37.05201805,-76.38518971,94
"ACHIEVABLE DREAM ACADEMY",36.97610075,-76.41264232,95
"ACHIEVABLE DREAM MIDDLE/HIGH",37.00367512,-76.42798402,96
"B.C. CHARLES ELEM",37.096552,-76.5277,97
"B.T. WASHINGTON MIDDLE",36.99539024,-76.41126116,98
"CARVER ELEM",37.0246697,-76.44764904,99
"CRITTENDEN MIDDLE",37.02465952,-76.44764278,100
"DAVID A. DUTROW ELEM",37.1432741,-76.55329045,101
"DEER PARK ELEM",37.0724837,-76.47496297,102
"DENBIGH EARLY CHILDHOOD CENTER",37.16256785,-76.55642644,103
"DENBIGH HIGH",37.12641775,-76.54891173,104
"DISCOVERY STEM ACADEMY",36.9830577,-76.40281209,105
"ELLA J. FITZGERALD MIDDLE",37.16355685,-76.55221269,106
"ETHEL M. GILDERSLEEVE MIDDLE",37.0721313,-76.50110794,107
"GENERAL STANFORD ELEM",37.15745278,-76.57061422,108
"GEORGE J. MCINTOSH ELEM",37.1479197,-76.52933465,109
"HERITAGE HIGH",37.006222,-76.42715432,110
"HIDENWOOD ELEM",37.0656207,-76.50920528,111
"HILTON ELEM",37.0286179,-76.46394764,112
"HOMER L. HINES MIDDLE",37.04493405,-76.4611325,113
"HUNTINGTON MIDDLE",37.006222,-76.42715432,114
"JOHN MARSHALL EARLY CHILDHOOD CTR",36.98207495,-76.41685476,115
"JOSEPH H. SAUNDERS ELEM",37.086635,-76.452715,116
"KATHERINE JOHNSON ELEM",37.18867045,-76.57090742,117
"KILN CREEK ELEM",37.12199217,-76.48616372,118
"KNOLLWOOD MEADOWS ELEM",37.12734525,-76.56255539,119
"L.F. PALMER ELEM",37.105685,-76.488347,120
"MARY PASSAGE MIDDLE",37.14862856,-76.54652445,121
"MENCHVILLE HIGH",37.09604538,-76.53051692,122
"NEWSOME PARK ELEM",36.99600765,-76.42177796,123
"OLIVER C. GREENWOOD ELEM",37.1763021,-76.52737666,124
"RICHARD T. YATES ELEM",37.0899546,-76.50364062,125
"RICHNECK ELEM",37.15650355,-76.52329287,126
"RIVERSIDE ELEM",37.054825,-76.498029,127
"SEDGEFIELD ELEM",37.23292545,-76.50548967,128
"STONEY RUN ELEM",37.13125725,-76.55120018,129
"T. RYLAND SANFORD ELEM",37.11157757,-76.54422555,130
"WARWICK HIGH",37.0527137,-76.47500746,131
"WATKINS EARLY CHILDHOOD CENTER",37.07600233,-76.45920183,132
"WILLIS A. JENKINS ELEM",37.10863786,-76.52235683,133
"WOODSIDE HIGH",37.17290455,-76.52406533,134
"ATLEE HIGH",37.6646314,-77.41037157,135
"BATTLEFIELD PARK ELEM",37.6260102,-77.29633988,136
"BEAVERDAM ELEM",37.9332336,-77.64210807,137
"BELL CREEK MIDDLE",37.6178072,-77.3409835,138
"CHICKAHOMINY MIDDLE",37.66609945,-77.41173782,139
"COLD HARBOR ELEM",37.59320345,-77.31979749,140
"COOL SPRING ELEM",37.66970995,-77.41206846,141
"ELMONT ELEM",37.7142143,-77.50725,142
"HANOVER HIGH",37.68827425,-77.38555602,143
"HENRY CLAY ELEM",37.75598295,-77.48652453,144
"JOHN M. GANDY ELEM",37.77041715,-77.47443035,145
"KERSEY CREEK ELEM",37.6909912,-77.38893305,146
"LAUREL MEADOW ELEM",37.6276086,-77.33688135,147
"LIBERTY MIDDLE",37.780866,-77.53316499,148
"MECHANICSVILLE ELEM",37.61388074,-77.37873931,149
"MECHANICSVILLE HIGH",37.61397715,-77.3405065,150
"OAK KNOLL MIDDLE",37.68626375,-77.3838495,151
"PATRICK HENRY HIGH",37.78559825,-77.53346962,152
"PEARSON'S CORNER ELEM",37.6779264,-77.38919535,153
"POLE GREEN ELEM",37.6398433,-77.30862546,154
"RURAL POINT ELEM",37.66504855,-77.33953794,155
"SOUTH ANNA ELEM",37.76361063,-77.66028899,156
"WASHINGTON-HENRY ELEM",37.64581028,-77.3839097,157
"ADAMS ELEM",37.53615855,-77.366115,158
"ARMSTRONG HIGH",37.55247925,-77.40377991,159
"ARTHUR ASHE JR. ELEM",37.5716338,-77.36381452,160
"BAKER ELEM",37.48267845,-77.36763049,161
"BROOKLAND MIDDLE",37.64140255,-77.48284113,162
"RUBY F. CARVER ELEM",37.6084775,-77.62798774,163
"CHAMBERLAYNE ELEM",37.63182495,-77.44163326,164
"COLONIAL TRAIL ELEM",37.66061315,-77.61460352,165
"CRESTVIEW ELEM",37.6003289,-77.52018548,166
"DAVIS ELEM",37.6237231,-77.55936987,167
"DEEP RUN HIGH",37.6754004,-77.59954314,168
"DONAHOE ELEM",37.5381963,-77.29278592,169
"DUMBARTON ELEM",37.639112,-77.51832425,170
"ECHO LAKE ELEM",37.667957,-77.54444397,171
"ELKO MIDDLE",37.5036221,-77.23279901,172
"FAIR OAKS ELEM",37.5339188,-77.32035624,173
"FAIRFIELD MIDDLE",37.5455027,-77.35984867,174
"FREEMAN HIGH",37.6016143,-77.55864041,175
"GAYTON ELEM",37.63519855,-77.63261143,176
"GLEN ALLEN ELEM",37.67853875,-77.52332128,177
"GLEN ALLEN HIGH",37.66589585,-77.53429541,178
"GLEN LEA ELEM",37.57984825,-77.40076117,179
"GODWIN HIGH",37.61852995,-77.60427868,180
"GREENWOOD ELEM",37.67113195,-77.48753146,181
"HARVIE ELEM",37.5702999,-77.3796605,182
"HENRICO HIGH",37.6037345,-77.43313059,183
"HERMITAGE HIGH",37.63302955,-77.51712874,184
"HIGHLAND SPRINGS ELEM",37.54285115,-77.34014289,185
"HIGHLAND SPRINGS HIGH",37.539329,-77.32440645,186
"HOLLADAY ELEM",37.6194677,-77.4906918,187
"HOLMAN MIDDLE",37.6897531,-77.5902152,188
"HUNGARY CREEK MIDDLE",37.6582479,-77.5376651,189
"JOHNSON ELEM",37.6031388,-77.50546701,190
"KAECHELE ELEM",37.6928112,-77.63120112,191
"L. DOUGLAS WILDER MIDDLE",37.62250645,-77.42184766,192
"LABURNUM ELEM",37.59668425,-77.42863836,193
"LAKESIDE ELEM",37.6133102,-77.4786169,194
"LONGAN ELEM",37.64109765,-77.54716627,195
"LONGDALE ELEM",37.6546344,-77.46393765,196
"MAYBEURY ELEM",37.59386429,-77.58270125,197
"MEHFOUD ELEM",37.4367702,-77.34587324,198
"MONTROSE ELEM",37.5196911,-77.37584206,199
"MOODY MIDDLE",37.62548565,-77.48105366,200
"NUCKOLS FARM ELEM",37.65584525,-77.63911327,201
"PEMBERTON ELEM",37.60967235,-77.57974355,202
"PINCHBECK ELEM",37.60222945,-77.59074327,203
"POCAHONTAS MIDDLE",37.6453948,-77.6078043,204
"QUIOCCASIN MIDDLE",37.60964935,-77.58310566,205
"RATCLIFFE ELEM",37.56758145,-77.38923611,206
"RIDGE ELEM",37.60519785,-77.55924942,207
"RIVERS EDGE ELEM",37.6871147,-77.57893107,208
"ROLFE MIDDLE",37.47643535,-77.37289421,209
"SANDSTON ELEM",37.5243903,-77.31287547,210
"SEVEN PINES ELEM",37.51665928,-77.30401635,211
"SHADY GROVE ELEM",37.6948939,-77.6141742,212
"SHORT PUMP ELEM",37.6492116,-77.61194545,213
"SHORT PUMP MIDDLE",37.66672535,-77.61009151,214
"SKIPWITH ELEM",37.6186712,-77.53655494,215
"SPRINGFIELD PARK ELEM",37.65741807,-77.56546828,216
"THREE CHOPT ELEM",37.6022936,-77.53898138,217
"TREVVETT ELEM",37.6382714,-77.49166731,218
"TUCKAHOE ELEM",37.58420565,-77.5531705,219
"TUCKAHOE MIDDLE",37.609483,-77.562105,220
"TUCKER HIGH",37.62834822,-77.54723295,221
"TWIN HICKORY ELEM",37.6720514,-77.6001077,222
"VARINA ELEM",37.4445515,-77.35450282,223
"VARINA HIGH",37.47273565,-77.37687211,224
"WARD ELEM",37.4675902,-77.32436757,225
"ALBERT HILL MIDDLE",37.5624644,-77.48160237,226
"BARACK OBAMA ELEM",37.57374555,-77.43573853,227
"BELLEVUE ELEM",37.531382,-77.42124878,228
"BINFORD MIDDLE",37.5489328,-77.462312,229
"BLACKWELL ELEM",37.516059,-77.445093,230
"BROAD ROCK ELEM",37.47609465,-77.47921159,231
"CARDINAL ELEM",37.49517605,-77.47344823,232
"CHIMBORAZO ELEM",37.5301528,-77.41283265,233
"ELIZABETH D. REDD ELEM",37.51852,-77.502489,234
"FAIRFIELD COURT ELEM",37.5497371,-77.40108371,235
"FRANKLIN MILITARY ACADEMY",37.5285636,-77.40367025,236
"G.H. REID ELEM",37.4888278,-77.50890182,237
"GEORGE W. CARVER ELEM",37.5541574,-77.4482228,238
"GEORGE WYTHE HIGH",37.51074888,-77.48613794,239
"GINTER PARK ELEM",37.586668,-77.447477,240
"HENDERSON MIDDLE",37.5963344,-77.44651129,241
"HENRY MARSH III ELEM",37.5484497,-77.3965745,242
"HUGUENOT HIGH",37.53266646,-77.54276284,243
"J.B. FISHER ELEM",37.5462911,-77.5825508,244
"J.L. FRANCIS ELEM",37.47608005,-77.48846577,245
"JOHN B. CARY ELEM",37.5486126,-77.4823646,246
"JOHN MARSHALL HIGH",37.59327261,-77.44737793,247
"LINWOOD HOLTON ELEM",37.5851694,-77.46119522,248
"LUCILLE M. BROWN MIDDLE",37.52151925,-77.5137851,249
"MAGGIE L. WALKER GOV. SCH.",37.558898,-77.45353709,250
"MARTIN LUTHER KING JR EARLY LEARNING CENTER",37.54007864,-77.42020253,251
"MARTIN LUTHER KING JR. MIDDLE",37.54271415,-77.41942274,252
"MARY MUNFORD ELEM",37.5634167,-77.49998432,253
"MAYMONT PRE-K CENTER",37.5383546,-77.46812292,254
"MILES JONES ELEM",37.50606312,-77.51291566,255
"OAK GROVE/BELLEMEADE ELEM",37.49682163,-77.44238607,256
"OPEN HIGH",37.5376427,-77.45080935,257
"OVERBY-SHEPPARD ELEM",37.563733,-77.424236,258
"PATRICK HENRY SCHOOL OF SCIENCE AND ARTS",37.51646695,-77.46960261,259
"RICHMOND COMMUNITY HIGH",37.57053715,-77.42992166,260
"RIVER CITY MIDDLE",37.4814369,-77.50981483,261
"SOUTHAMPTON ELEM",37.5440396,-77.53405633,262
"SUMMER HILL PRESCHOOL CENTER",37.47532005,-77.44623535,263
"SWANSBORO ELEM",37.51103078,-77.4668997,264
"THOMAS C. BOUSHALL MIDDLE",37.473896,-77.468875,265
"THOMAS JEFFERSON HIGH",37.570703,-77.485883,266
"WESTOVER HILLS ELEM",37.52106148,-77.49316333,267
"WILLIAM FOX ELEM",37.5543183,-77.4681761,268
"WOODVILLE ELEM",37.54596955,-77.40146879,269
"BERKELEY MIDDLE",37.27549336,-76.73850491,270
"JAMES BLAIR MIDDLE",37.29169015,-76.72471718,271
"MATTHEW WHALEY ELEM",37.27405041,-76.7041897,272
"CLARA BYRD BAKER ELEM",37.2488481,-76.7662695,273
"D.J. MONTAGUE ELEM",37.31065735,-76.79211824,274
"J BLAINE BLAYTON ELEM",37.33363055,-76.80601247,275
"JAMES RIVER ELEM",37.2094809,-76.61730905,276
"JAMESTOWN HIGH",37.25249385,-76.78880339,277
"LAFAYETTE HIGH",37.31610005,-76.76389826,278
"LAUREL LANE ELEM",37.24810135,-76.7327977,279
"LOIS HORNSBY MIDDLE",37.33504412,-76.8070251,280
"MATOAKA ELEM",37.2762384,-76.8174523,281
"NORGE ELEM",37.36428185,-76.76997228,282
"STONEHOUSE ELEM",37.39429255,-76.79457704,283
"TOANO MIDDLE",37.37637675,-76.80090873,284
"WARHILL HIGH",37.33131485,-76.75802648,285
"BETHEL MANOR ELEM",37.09386063,-76.4229927,286
"BRUTON HIGH",37.315703,-76.692887,287
"COVENTRY ELEM",37.1067254,-76.44012831,288
"DARE ELEM",37.16270885,-76.45823277,289
"GRAFTON BETHEL ELEM",37.1484309,-76.453483,290
"GRAFTON HIGH",37.16383857,-76.47008717,291
"GRAFTON MIDDLE",37.164028,-76.467004,292
"MAGRUDER ELEM",37.26706385,-76.67319486,293
"MT. VERNON ELEM",37.14021283,-76.44596859,294
"QUEENS LAKE MIDDLE",37.28357705,-76.67181297,295
"SEAFORD ELEM",37.18618625,-76.44500658,296
"TABB ELEM",37.1134482,-76.43128502,297
"TABB HIGH",37.12377185,-76.43365457,298
"TABB MIDDLE",37.125842,-76.451781,299
"WALLER MILL ELEM",37.2923177,-76.7123401,300
"YORK HIGH",37.20419347,-76.50027866,301
"YORK RIVER ACADEMY",37.20498005,-76.5018581,302
"YORKTOWN ELEM",37.1989253,-76.505304,303
"YORKTOWN MIDDLE",37.22777144,-76.51575498,304
